match,teamInnings,bowlerName,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,WD,NB
India vs Australia,India,Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0
India vs Australia,India,Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0
India vs Australia,India,Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0
India vs Australia,India,Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0
India vs Australia,India,Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0
India vs Australia,India,Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0
India vs Australia,India,Travis Head,2.0,0,4,0,2.0,8,0,0,0,0
Australia vs South Africa,South Africa,Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0
Australia vs South Africa,South Africa,Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0
Australia vs South Africa,South Africa,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0
Australia vs South Africa,South Africa,Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0
Australia vs South Africa,South Africa,Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0
Australia vs South Africa,South Africa,Travis Head,5.0,0,21,2,4.2,19,3,0,1,0
India vs New Zealand,India,Trent Boult,10.0,0,86,1,8.6,26,9,4,2,0
India vs New Zealand,India,Tim Southee,10.0,0,100,3,10.0,20,8,6,1,0
India vs New Zealand,India,Mitchell Santner,10.0,1,51,0,5.1,29,3,2,0,0
India vs New Zealand,India,Lockie Ferguson,8.0,0,65,0,8.12,15,7,1,1,0
India vs New Zealand,India,Rachin Ravindra,7.0,0,60,0,8.57,13,2,4,2,0
India vs New Zealand,India,Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0
India vs Netherlands,India,Aryan Dutt,7.0,0,52,0,7.42,19,7,1,1,0
India vs Netherlands,India,Logan van Beek,10.0,0,107,0,10.7,17,10,6,1,0
India vs Netherlands,India,Colin Ackermann,3.0,0,25,0,8.33,5,2,1,1,0
India vs Netherlands,India,Paul van Meekeren,10.0,0,90,1,9.0,19,6,5,2,1
India vs Netherlands,India,Roelof van der Merwe,10.0,0,53,1,5.3,27,4,1,0,0
India vs Netherlands,India,Bas de Leede,10.0,0,82,2,8.2,22,8,2,8,0
England vs Pakistan,England,Shaheen Shah Afridi,10.0,1,72,2,7.2,32,9,3,0,0
England vs Pakistan,England,Haris Rauf,10.0,0,64,3,6.4,32,7,0,3,0
England vs Pakistan,England,Iftikhar Ahmed,7.0,0,38,1,5.42,17,4,0,0,0
England vs Pakistan,England,Mohammad Wasim,10.0,0,74,2,7.4,26,7,3,1,0
England vs Pakistan,England,Shadab Khan,10.0,0,57,0,5.7,25,5,1,0,0
England vs Pakistan,England,Agha Salman,3.0,0,25,0,8.33,7,3,1,0,0
Australia vs Bangladesh,Bangladesh,Josh Hazlewood,7.0,1,21,0,3.0,29,2,0,0,0
Australia vs Bangladesh,Bangladesh,Pat Cummins,8.0,0,56,0,7.0,22,7,0,4,0
Australia vs Bangladesh,Bangladesh,Sean Abbott,10.0,0,61,2,6.1,29,4,2,0,1
Australia vs Bangladesh,Bangladesh,Mitchell Marsh,4.0,0,48,0,12.0,8,6,2,2,1
Australia vs Bangladesh,Bangladesh,Adam Zampa,10.0,0,32,2,3.2,39,2,1,0,0
Australia vs Bangladesh,Bangladesh,Travis Head,6.0,0,33,0,5.5,14,2,1,0,0
Australia vs Bangladesh,Bangladesh,Marcus Stoinis,5.0,0,45,1,9.0,4,4,0,2,0
Afghanistan vs South Africa,Afghanistan,Kagiso Rabada,10.0,0,40,0,4.0,37,4,1,0,0
Afghanistan vs South Africa,Afghanistan,Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0
Afghanistan vs South Africa,Afghanistan,Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0
Afghanistan vs South Africa,Afghanistan,Gerald Coetzee,10.0,1,44,4,4.4,35,5,0,2,0
Afghanistan vs South Africa,Afghanistan,Keshav Maharaj,10.0,1,25,2,2.5,41,0,0,2,0
Afghanistan vs South Africa,Afghanistan,Andile Phehlukwayo,7.0,0,36,1,5.14,20,4,0,0,0
New Zealand vs Sri Lanka,Sri Lanka,Trent Boult,10.0,3,37,3,3.7,45,6,0,3,0
New Zealand vs Sri Lanka,Sri Lanka,Tim Southee,8.0,0,52,1,6.5,29,6,3,0,0
New Zealand vs Sri Lanka,Sri Lanka,Lockie Ferguson,10.0,2,35,2,3.5,43,6,0,0,0
New Zealand vs Sri Lanka,Sri Lanka,Mitchell Santner,10.0,2,22,2,2.2,45,2,0,0,0
New Zealand vs Sri Lanka,Sri Lanka,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0
New Zealand vs Sri Lanka,Sri Lanka,Glenn Phillips,1.0,0,3,0,3.0,3,0,0,0,0
England vs Netherlands,England,Aryan Dutt,10.0,0,67,2,6.7,30,5,3,1,1
England vs Netherlands,England,Logan van Beek,10.0,0,88,2,8.8,25,10,1,10,0
England vs Netherlands,England,Paul van Meekeren,10.0,0,57,1,5.7,28,5,0,5,0
England vs Netherlands,England,Bas de Leede,10.0,0,74,3,7.4,26,5,4,0,0
England vs Netherlands,England,Roelof van der Merwe,3.0,0,22,0,7.33,6,0,2,0,0
England vs Netherlands,England,Colin Ackermann,7.0,0,31,0,4.42,15,1,0,0,0
Afghanistan vs Australia,Afghanistan,Mitchell Starc,9.0,0,70,1,7.77,26,4,4,5,0
Afghanistan vs Australia,Afghanistan,Josh Hazlewood,9.0,0,39,2,4.33,30,2,1,1,0
Afghanistan vs Australia,Afghanistan,Glenn Maxwell,10.0,0,55,1,5.5,24,2,1,0,1
Afghanistan vs Australia,Afghanistan,Pat Cummins,8.0,0,47,0,5.87,25,5,1,1,0
Afghanistan vs Australia,Afghanistan,Adam Zampa,10.0,0,58,1,5.8,22,2,2,2,0
Afghanistan vs Australia,Afghanistan,Travis Head,3.0,0,15,0,5.0,7,1,0,0,0
Afghanistan vs Australia,Afghanistan,Marcus Stoinis,1.0,0,2,0,2.0,4,0,0,0,0
Bangladesh vs Sri Lanka,Sri Lanka,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0
Bangladesh vs Sri Lanka,Sri Lanka,Taskin Ahmed,10.0,1,39,0,3.9,39,5,0,1,0
Bangladesh vs Sri Lanka,Sri Lanka,Tanzim Hasan Sakib,10.0,0,80,3,8.0,27,8,4,2,0
Bangladesh vs Sri Lanka,Sri Lanka,Shakib Al Hasan,10.0,0,57,2,5.7,23,1,3,0,0
Bangladesh vs Sri Lanka,Sri Lanka,Mehidy Hasan Miraz,10.0,0,49,1,4.9,30,6,0,0,0
India vs South Africa,India,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0
India vs South Africa,India,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1
India vs South Africa,India,Kagiso Rabada,10.0,1,48,1,4.8,33,6,0,0,0
India vs South Africa,India,Keshav Maharaj,10.0,0,30,1,3.0,32,0,0,1,0
India vs South Africa,India,Tabraiz Shamsi,10.0,0,72,1,7.2,22,5,1,7,1
India vs South Africa,India,Aiden Markram,2.0,0,17,0,8.5,4,1,1,1,0
Australia vs England,Australia,David Willey,10.0,1,48,1,4.8,31,4,0,1,0
Australia vs England,Australia,Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0
Australia vs England,Australia,Mark Wood,10.0,0,70,2,7.0,27,9,0,3,0
Australia vs England,Australia,Liam Livingstone,6.0,0,42,1,7.0,10,2,1,0,0
Australia vs England,Australia,Moeen Ali,4.0,0,28,0,7.0,9,4,0,0,0
Australia vs England,Australia,Adil Rashid,10.0,0,38,2,3.8,34,1,1,0,0
New Zealand vs Pakistan,New Zealand,Shaheen Shah Afridi,10.0,0,90,0,9.0,24,11,2,5,0
New Zealand vs Pakistan,New Zealand,Hasan Ali,10.0,0,82,1,8.2,26,10,2,2,1
New Zealand vs Pakistan,New Zealand,Iftikhar Ahmed,8.0,0,55,1,6.87,20,8,0,0,0
New Zealand vs Pakistan,New Zealand,Haris Rauf,10.0,0,85,1,8.5,24,11,2,2,0
New Zealand vs Pakistan,New Zealand,Mohammad Wasim,10.0,0,60,3,6.0,28,4,1,3,0
New Zealand vs Pakistan,New Zealand,Agha Salman,2.0,0,21,0,10.5,3,2,1,1,0
Afghanistan vs Netherlands,Netherlands,Mujeeb Ur Rahman,10.0,0,40,1,4.0,40,4,0,3,0
Afghanistan vs Netherlands,Netherlands,Fazalhaq Farooqi,5.0,0,36,0,7.2,20,8,0,2,0
Afghanistan vs Netherlands,Netherlands,Azmatullah Omarzai,3.0,0,11,0,3.66,10,1,0,0,0
Afghanistan vs Netherlands,Netherlands,Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0
Afghanistan vs Netherlands,Netherlands,Rashid Khan,10.0,0,31,0,3.1,35,0,0,3,0
Afghanistan vs Netherlands,Netherlands,Noor Ahmad,9.0,0,31,2,3.44,36,3,0,3,0
India vs Sri Lanka,India,Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0
India vs Sri Lanka,India,Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0
India vs Sri Lanka,India,Kasun Rajitha,9.0,0,65,0,7.22,25,7,2,1,0
India vs Sri Lanka,India,Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0
India vs Sri Lanka,India,Maheesh Theekshana,10.0,0,67,0,6.7,18,5,1,1,0
India vs Sri Lanka,India,Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1
New Zealand vs South Africa,South Africa,Trent Boult,10.0,1,49,1,4.9,35,5,1,2,0
New Zealand vs South Africa,South Africa,Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0
New Zealand vs South Africa,South Africa,Tim Southee,10.0,0,77,2,7.7,19,6,3,1,0
New Zealand vs South Africa,South Africa,Mitchell Santner,10.0,0,58,0,5.8,18,2,1,2,0
New Zealand vs South Africa,South Africa,Glenn Phillips,7.0,0,52,0,7.42,15,2,3,2,0
New Zealand vs South Africa,South Africa,Rachin Ravindra,2.0,0,17,0,8.5,6,2,1,0,0
New Zealand vs South Africa,South Africa,James Neesham,5.3,0,69,1,12.54,7,5,5,0,0
Bangladesh vs Pakistan,Bangladesh,Shaheen Shah Afridi,9.0,1,23,3,2.55,40,2,0,2,0
Bangladesh vs Pakistan,Bangladesh,Iftikhar Ahmed,10.0,0,44,1,4.4,32,5,0,0,0
Bangladesh vs Pakistan,Bangladesh,Haris Rauf,8.0,0,36,2,4.5,28,3,0,2,0
Bangladesh vs Pakistan,Bangladesh,Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0
Bangladesh vs Pakistan,Bangladesh,Usama Mir,10.0,0,66,1,6.6,27,5,3,1,0
Afghanistan vs Sri Lanka,Sri Lanka,Mujeeb Ur Rahman,10.0,0,38,2,3.8,29,2,0,0,0
Afghanistan vs Sri Lanka,Sri Lanka,Fazalhaq Farooqi,10.0,1,34,4,3.4,42,3,1,0,0
Afghanistan vs Sri Lanka,Sri Lanka,Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0
Afghanistan vs Sri Lanka,Sri Lanka,Azmatullah Omarzai,7.0,0,37,1,5.28,22,5,0,1,0
Afghanistan vs Sri Lanka,Sri Lanka,Rashid Khan,10.0,0,50,1,5.0,27,3,0,2,0
Afghanistan vs Sri Lanka,Sri Lanka,Mohammad Nabi,6.0,0,33,0,5.5,11,1,0,0,0
India vs England,India,David Willey,10.0,2,45,3,4.5,39,4,2,0,0
India vs England,India,Chris Woakes,9.0,1,33,2,3.66,36,3,0,1,0
India vs England,India,Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0
India vs England,India,Mark Wood,9.0,1,46,1,5.11,32,3,2,2,0
India vs England,India,Liam Livingstone,4.0,1,29,0,7.25,13,5,0,0,0
India vs England,India,Moeen Ali,8.0,0,37,0,4.62,19,2,0,0,0
Bangladesh vs Netherlands,Netherlands,Shoriful Islam,10.0,0,51,2,5.1,38,5,1,3,0
Bangladesh vs Netherlands,Netherlands,Taskin Ahmed,9.0,1,43,2,4.77,32,6,0,1,0
Bangladesh vs Netherlands,Netherlands,Shakib Al Hasan,10.0,1,37,1,3.7,35,4,0,0,0
Bangladesh vs Netherlands,Netherlands,Mehidy Hasan Miraz,4.0,0,17,0,4.25,10,1,0,0,0
Bangladesh vs Netherlands,Netherlands,Mustafizur Rahman,10.0,1,36,2,3.6,36,3,0,1,0
Bangladesh vs Netherlands,Netherlands,Mahedi Hasan,7.0,0,40,2,5.71,23,3,1,1,0
Australia vs New Zealand,Australia,Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2
Australia vs New Zealand,Australia,Trent Boult,10.0,0,77,3,7.7,25,7,3,3,0
Australia vs New Zealand,Australia,Lockie Ferguson,3.0,0,38,0,12.66,6,3,3,0,0
Australia vs New Zealand,Australia,Mitchell Santner,10.0,0,80,2,8.0,23,6,4,1,0
Australia vs New Zealand,Australia,Glenn Phillips,10.0,0,37,3,3.7,30,2,0,0,0
Australia vs New Zealand,Australia,Rachin Ravindra,8.0,0,56,0,7.0,18,5,2,0,0
Australia vs New Zealand,Australia,James Neesham,2.0,0,32,1,16.0,4,1,4,0,0
Pakistan vs South Africa,Pakistan,Marco Jansen,9.0,1,43,3,4.77,40,5,0,6,2
Pakistan vs South Africa,Pakistan,Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0
Pakistan vs South Africa,Pakistan,Aiden Markram,4.0,0,20,0,5.0,12,2,0,0,0
Pakistan vs South Africa,Pakistan,Keshav Maharaj,9.0,0,56,0,6.22,30,4,4,0,0
Pakistan vs South Africa,Pakistan,Gerald Coetzee,7.0,0,42,2,6.0,20,4,1,1,0
Pakistan vs South Africa,Pakistan,Tabraiz Shamsi,10.0,0,60,4,6.0,28,2,3,1,2
England vs Sri Lanka,England,Dilshan Madushanka,5.0,0,37,0,7.4,18,7,0,0,0
England vs Sri Lanka,England,Kasun Rajitha,7.0,0,36,2,5.14,25,5,0,1,0
England vs Sri Lanka,England,Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0
England vs Sri Lanka,England,Angelo Mathews,5.0,1,14,2,2.8,17,0,0,0,0
