match,teamInnings,BATTING,BattingPos,bowler,R,B,M,4s,6s,SR
India vs Australia,India,Rohit Sharma (c),1,c Head b Maxwell,47,31,44,4,3,151.61
India vs Australia,India,Shubman Gill,2,c Zampa b Starc,4,7,21,0,0,57.14
India vs Australia,India,Virat Kohli,3,b Cummins,54,63,99,4,0,85.71
India vs Australia,India,Shreyas Iyer,4,c †Inglis b Cummins,4,3,3,1,0,133.33
India vs Australia,India,KL Rahul †,5,c †Inglis b Starc,66,107,133,1,0,61.68
India vs Australia,India,Ravindra Jadeja,6,c †Inglis b Hazlewood,9,22,33,0,0,40.90
India vs Australia,India,Suryakumar Yadav,7,c †Inglis b Hazlewood,18,28,57,1,0,64.28
India vs Australia,India,Mohammed Shami,8,c †Inglis b Starc,6,10,9,1,0,60.00
India vs Australia,India,Jasprit Bumrah,9,lbw b Zampa,1,3,5,0,0,33.33
India vs Australia,India,Kuldeep Yadav,10,run out (Labuschagne/Cummins),10,18,28,0,0,55.55
India vs Australia,India,Mohammed Siraj,11,not out,9,8,13,1,0,112.50
Australia vs South Africa,South Africa,Quinton de Kock †,1,c Cummins b Hazlewood,3,14,27,0,0,21.42
Australia vs South Africa,South Africa,Temba Bavuma (c),2,c †Inglis b Starc,0,4,5,0,0,0.00
Australia vs South Africa,South Africa,Rassie van der Dussen,3,c Smith b Hazlewood,6,31,53,0,0,19.35
Australia vs South Africa,South Africa,Aiden Markram,4,c Warner b Starc,10,20,24,2,0,50.00
Australia vs South Africa,South Africa,Heinrich Klaasen,5,b Head,47,48,76,4,2,97.91
Australia vs South Africa,South Africa,David Miller,6,c Head b Cummins,101,116,138,8,5,87.06
Australia vs South Africa,South Africa,Marco Jansen,7,lbw b Head,0,1,1,0,0,0.00
Australia vs South Africa,South Africa,Gerald Coetzee,8,c †Inglis b Cummins,19,39,42,2,0,48.71
Australia vs South Africa,South Africa,Keshav Maharaj,9,c Smith b Starc,4,8,13,0,0,50.00
Australia vs South Africa,South Africa,Kagiso Rabada,10,c Maxwell b Cummins,10,12,18,0,1,83.33
Australia vs South Africa,South Africa,Tabraiz Shamsi,11,not out,1,5,11,0,0,20.00
India vs New Zealand,India,Rohit Sharma (c),1,c Williamson b Southee,47,29,40,4,4,162.06
India vs New Zealand,India,Shubman Gill,2,not out,80,66,116,8,3,121.21
India vs New Zealand,India,Virat Kohli,3,c Conway b Southee,117,113,149,9,2,103.53
