Team 1,Team 2,match,Winner,Margin,Ground,Match Date,Scorecard,link
India,Australia,India vs Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",ODI # 4705,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-final-1384439/full-scorecard
Australia,South Africa,Australia vs South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",ODI # 4704,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-2nd-semi-final-1384438/full-scorecard
India,New Zealand,India vs New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",ODI # 4703,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-1st-semi-final-1384437/full-scorecard
India,Netherlands,India vs Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",ODI # 4702,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-netherlands-45th-match-1384436/full-scorecard
England,Pakistan,England vs Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",ODI # 4701,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-pakistan-44th-match-1384435/full-scorecard
Australia,Bangladesh,Australia vs Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",ODI # 4700,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-bangladesh-43rd-match-1384434/full-scorecard
Afghanistan,South Africa,Afghanistan vs South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",ODI # 4699,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-south-africa-42nd-match-1384433/full-scorecard
New Zealand,Sri Lanka,New Zealand vs Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",ODI # 4698,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-sri-lanka-41st-match-1384432/full-scorecard
England,Netherlands,England vs Netherlands,England,160 runs,Pune,"Nov 8, 2023",ODI # 4697,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-netherlands-40th-match-1384431/full-scorecard
Afghanistan,Australia,Afghanistan vs Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",ODI # 4696,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-australia-39th-match-1384430/full-scorecard
Bangladesh,Sri Lanka,Bangladesh vs Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",ODI # 4695,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-sri-lanka-38th-match-1384429/full-scorecard
India,South Africa,India vs South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",ODI # 4694,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-south-africa-37th-match-1384428/full-scorecard
Australia,England,Australia vs England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",ODI # 4693,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-england-36th-match-1384427/full-scorecard
New Zealand,Pakistan,New Zealand vs Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",ODI # 4692,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-pakistan-35th-match-1384426/full-scorecard
Afghanistan,Netherlands,Afghanistan vs Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",ODI # 4691,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-netherlands-34th-match-1384425/full-scorecard
India,Sri Lanka,India vs Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",ODI # 4690,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-sri-lanka-33rd-match-1384424/full-scorecard
New Zealand,South Africa,New Zealand vs South Africa,South Africa,190 runs,Pune,"Nov 1, 2023",ODI # 4689,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-south-africa-32nd-match-1384423/full-scorecard
Bangladesh,Pakistan,Bangladesh vs Pakistan,Pakistan,7 wickets,Eden Gardens,"Oct 31, 2023",ODI # 4688,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-pakistan-31st-match-1384422/full-scorecard
Afghanistan,Sri Lanka,Afghanistan vs Sri Lanka,Afghanistan,7 wickets,Pune,"Oct 30, 2023",ODI # 4687,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-sri-lanka-30th-match-1384421/full-scorecard
India,England,India vs England,India,100 runs,Lucknow,"Oct 29, 2023",ODI # 4686,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-england-29th-match-1384420/full-scorecard
Bangladesh,Netherlands,Bangladesh vs Netherlands,Netherlands,87 runs,Eden Gardens,"Oct 28, 2023",ODI # 4685,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-netherlands-28th-match-1384419/full-scorecard
Australia,New Zealand,Australia vs New Zealand,Australia,5 runs,Dharamsala,"Oct 28, 2023",ODI # 4684,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-new-zealand-27th-match-1384418/full-scorecard
Pakistan,South Africa,Pakistan vs South Africa,South Africa,1 wicket,Chennai,"Oct 27, 2023",ODI # 4683,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/pakistan-vs-south-africa-26th-match-1384417/full-scorecard
England,Sri Lanka,England vs Sri Lanka,Sri Lanka,8 wickets,Bengaluru,"Oct 26, 2023",ODI # 4682,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-sri-lanka-25th-match-1384416/full-scorecard
Australia,Netherlands,Australia vs Netherlands,Australia,309 runs,Delhi,"Oct 25, 2023",ODI # 4681,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-netherlands-24th-match-1384415/full-scorecard
Bangladesh,South Africa,Bangladesh vs South Africa,South Africa,149 runs,Wankhede,"Oct 24, 2023",ODI # 4680,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-south-africa-23rd-match-1384414/full-scorecard
Afghanistan,Pakistan,Afghanistan vs Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",ODI # 4679,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-pakistan-22nd-match-1384413/full-scorecard
India,New Zealand,India vs New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",ODI # 4678,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-21st-match-1384412/full-scorecard
England,South Africa,England vs South Africa,South Africa,229 runs,Wankhede,"Oct 21, 2023",ODI # 4677,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-south-africa-20th-match-1384411/full-scorecard
