Player Name,BATTING_STYLE,BOWLING_STYLE,PLAYING_ROLE
Mohammed Shami ,Right hand Bat,Right arm Fast,Bowler
Mohammad Nawaz ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Naveen,Right hand Bat,Right arm Medium fast,Bowler
Lahiru Kumara ,Left hand Bat,Right arm Fast,Bowler
Ishan Kishan ,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Chris Brown ,Right hand Bat,Right arm Fast medium,Umpire
Maheesh Theekshana ,Right hand Bat,Right arm Offbreak,Bowler
Kagiso Rabada ,Left hand Bat,Right arm Fast,Bowler
Hashmatullah Shahidi ,Hashmat Shaidi,Left hand Bat,Right arm Offbreak
Logan van Beek ,Right hand Bat,Right arm Medium fast,Bowler
Wesley Barresi ,Right hand Bat,Right arm Offbreak,Wicketkeeper
Babar Azam ,Right hand Bat,Right arm Offbreak,Batter
Cameron Green ,Right hand Bat,Right arm Fast medium,Batting Allrounder
Mitchell Santner ,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ravindra Jadeja ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Will Young ,Right hand Bat,Right arm Offbreak,Top order Batter
Ravichandran Ashwin ,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Sybrand Engelbrecht ,Right hand Bat,Right arm Offbreak,Allrounder
David Warner ,Lloyd,Left hand Bat,Legbreak
Taskin Ahmed ,Tazin,Left hand Bat,Right arm Fast
Pat Cummins ,Cummo,Right hand Bat,Right arm Fast
Rahmanullah Gurbaz ,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Ahsan Raza ,Right hand Bat,Wicketkeeper,Umpire
Trent Boult ,Right hand Bat,Left arm Fast medium,Bowler
Richard Illingworth ,Right hand Bat,Slow Left arm Orthodox,Bowler
David Willey ,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Glenn Phillips ,Right hand Bat,Right arm Offbreak,Wicketkeeper
Keshav Maharaj ,Right hand Bat,Slow Left arm Orthodox,Bowler
Tim Southee ,Right hand Bat,Right arm Medium fast,Bowler
Chamika Karunaratne ,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Saud Shakeel ,Saud Shakil,Left hand Bat,Left arm Slow
Andy Pycroft ,Right hand Bat,Right arm Offbreak,"Referee, Coach"
Mark Chapman ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Charith Asalanka ,Left hand Bat,Right arm Offbreak,Batting Allrounder
Dunith Wellalage ,Left hand Bat,Slow Left arm Orthodox,Bowler
Lockie Ferguson ,Lockie,Right hand Bat,Right arm Fast
Praveen Sen ,N/A,N/A,N/A
Michael Gough ,Right hand Bat,Right arm Offbreak,Umpire
Shaheen Shah Afridi ,Left hand Bat,Left arm Fast,Bowler
Andile Phehlukwayo ,Andy,Left hand Bat,Right arm Medium fast
Alex Wharf ,Gangster,Right hand Bat,Right arm Medium fast
Travis Head ,Left hand Bat,Right arm Offbreak,Wicketkeeper
Jeff Crowe ,Right hand Bat,Right arm Bowler,Middle order Batter
Virat Kohli ,Right hand Bat,Right arm Medium,Top order Batter
Jonny Bairstow ,Bluey,Right hand Bat,Right arm Medium
Litton Das ,Right hand Bat,Right arm Offbreak,Wicketkeeper
Joe Root ,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
Fazalhaq Farooqi ,Right hand Bat,Left arm Fast medium,Bowler
Ben Stokes ,Left hand Bat,Right arm Fast medium,Allrounder
Tanzid Hasan ,Left hand Bat,Opening Batter,N/A
Sean Abbott ,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Najibullah Zadran ,Left hand Bat,Right arm Offbreak,Middle order Batter
Chris Gaffaney ,Right hand Bat,Umpire,N/A
Mujeeb Ur Rahman ,Mujeeb Zadran,Right hand Bat,Right arm Offbreak
Saqib Zulfiqar ,MS Zulfiqar,Right hand Bat,Legbreak
Lizaad Williams ,Left hand Bat,Right arm Medium fast,Bowler
Max O'Dowd ,Right hand Bat,Right arm Offbreak,Opening Batter
Matheesha Pathirana ,Right hand Bat,Right arm Fast,Bowler
Paul van Meekeren ,Right hand Bat,Right arm Fast medium,Bowler
Rachin Ravindra ,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
James Neesham ,Jimmy Neesham,Left hand Bat,Right arm Medium fast
Marcus Stoinis ,Right hand Bat,Right arm Medium,Batting Allrounder
Alex Carey ,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Ish Sodhi ,Right hand Bat,Legbreak,Bowler
